Mixture,Host,Antibiotic,CFUs,Day,,CFUs_sub
seven,Ecoli,2-Cm,770000000,0,769955200,769955201
seven,Ecoli,2-Cm,125000000,1,124954100,124954101
seven,Ecoli,2-Cm,116000000,1,115964400,115964401
seven,Ecoli,2-Cm,119000000,1,118827000,118827001
seven,Ecoli,2-Cm,10100000,2,9729000,9729001
seven,Ecoli,2-Cm,9400000,2,9116000,9116001
seven,Ecoli,2-Cm,10100000,2,9103000,9103001
seven,Ecoli,2-Cm,83900000,3,83302000,83302001
seven,Ecoli,2-Cm,63300000,3,62695000,62695001
seven,Ecoli,2-Cm,42300000,3,41487000,41487001
seven,Ecoli,2-Cm,80000000,4,78944000,78944001
seven,Ecoli,2-Cm,93200000,4,92190000,92190001
seven,Ecoli,2-Cm,52400000,4,52400000,52400001
seven,Ecoli,3-Tet,860000000,0,859955200,859955201
seven,Ecoli,3-Tet,363000000,1,362954100,362954101
seven,Ecoli,3-Tet,250000000,1,249964400,249964401
seven,Ecoli,3-Tet,264000000,1,263827000,263827001
seven,Ecoli,3-Tet,260000000,2,259629000,259629001
seven,Ecoli,3-Tet,490000000,2,489716000,489716001
seven,Ecoli,3-Tet,400000000,2,399003000,399003001
seven,Ecoli,3-Tet,390000000,3,389402000,389402001
seven,Ecoli,3-Tet,310000000,3,309395000,309395001
seven,Ecoli,3-Tet,210000000,3,209187000,209187001
seven,Ecoli,3-Tet,330000000,4,328944000,328944001
seven,Ecoli,3-Tet,344000000,4,342990000,342990001
seven,Ecoli,3-Tet,370000000,4,370000000,370000001
seven,Ecoli,1-LB,1680000000,0,0,1
seven,Ecoli,1-LB,660000000,1,172047000,172047001
seven,Ecoli,1-LB,610000000,1,244025300,244025301
seven,Ecoli,1-LB,300000000,1,-82689600,-82689599
seven,Ecoli,1-LB,580000000,2,310469000,310469001
seven,Ecoli,1-LB,810000000,2,310797000,310797001
seven,Ecoli,1-LB,650000000,2,241610000,241610001
seven,Ecoli,1-LB,950000000,3,476299000,476299001
seven,Ecoli,1-LB,460000000,3,87312000,87312001
seven,Ecoli,1-LB,630000000,4,221299000,221299001
seven,Ecoli,1-LB,630000000,4,193764000,193764001
seven,Ecoli,1-LB,720000000,4,296590000,296590001
seven,Ecoli,4-Both,0,0,0,1
seven,Ecoli,4-Both,44800,1,44800,44801
seven,Ecoli,4-Both,45900,1,45900,45901
seven,Ecoli,4-Both,35600,1,35600,35601
seven,Ecoli,4-Both,173000,2,173000,173001
seven,Ecoli,4-Both,371000,2,371000,371001
seven,Ecoli,4-Both,284000,2,284000,284001
seven,Ecoli,4-Both,997000,3,997000,997001
seven,Ecoli,4-Both,598000,3,598000,598001
seven,Ecoli,4-Both,605000,3,605000,605001
seven,Ecoli,4-Both,813000,4,813000,813001
seven,Ecoli,4-Both,1056000,4,1056000,1056001
seven,Ecoli,4-Both,1010000,4,1010000,1010001
