"time","persist_low","persist_high"
0,1,1
0.01,0.990049833749168,0.999000499833375
0.02,0.980198673306755,0.998001998667333
0.03,0.970445533548508,0.997004495503373
0.04,0.960789439152323,0.996007989343991
0.05,0.951229424500714,0.995012479192682
0.06,0.941764533584249,0.994017964053935
0.07,0.932393819905948,0.993024442933235
0.08,0.923116346386636,0.992031914837061
0.09,0.913931185271228,0.991040378772884
0.1,0.90483741803596,0.990049833749168
0.11,0.895834135296528,0.989060278775369
0.12,0.886920436717157,0.988071712861931
0.13,0.878095430920561,0.987084135020288
0.14,0.869358235398806,0.986097544262862
0.15,0.860707976425058,0.985111939603063
0.16,0.852143788966211,0.984127320055285
0.17,0.843664816596384,0.98314368463491
0.18,0.835270211411272,0.982161032358301
0.19,0.826959133943362,0.981179362242806
0.2,0.818730753077982,0.980198673306755
0.21,0.810584245970187,0.97921896456946
0.22,0.802518797962478,0.97824023505121
0.23,0.794533602503334,0.977262483773277
0.24,0.786627861066553,0.976285709757909
0.25,0.778800783071405,0.975309912028333
0.26,0.771051585803566,0.974335089608749
0.27,0.763379494336853,0.973361241524337
0.28,0.755783741455725,0.972388366801247
0.29,0.748263567578565,0.971416464466605
0.3,0.740818220681718,0.970445533548508
0.31,0.733446956224289,0.969475573076026
0.32,0.726149037073691,0.968506582079198
0.33,0.718923733431926,0.967538559589032
0.34,0.71177032276261,0.966571504637507
0.35,0.704688089718713,0.965605416257566
0.36,0.697676326071031,0.964640293483123
0.37,0.690734330637355,0.963676135349053
0.38,0.683861409212356,0.9627129408912
0.39,0.677056874498165,0.961750709146367
0.4,0.670320046035639,0.960789439152323
0.41,0.663650250136319,0.959829129947799
0.42,0.657046819815057,0.958869780572485
0.43,0.650509094723317,0.957911390067031
0.44,0.644036421083141,0.956953957473047
0.45,0.637628151621773,0.9559974818331
0.46,0.631283645506926,0.955041962190715
0.47,0.625002268282701,0.954087397590371
0.48,0.618783391806141,0.953133787077505
0.49,0.612626394184416,0.952181129698505
0.5,0.606530659712633,0.951229424500714
0.51,0.600495578812266,0.950278670532427
0.52,0.594520547970194,0.94932886684289
0.53,0.588604969678355,0.948380012482298
0.54,0.58274825237399,0.947432106501798
0.55,0.576949810380487,0.946485147953484
0.56,0.571209063848815,0.945539135890396
0.57,0.565525438699537,0.944594069366523
0.58,0.559898366565402,0.943649947436799
0.59,0.554327284734507,0.9427067691571
0.6,0.548811636094027,0.941764533584249
0.61,0.5433508690745,0.94082323977601
0.62,0.537944437594674,0.939882886791089
0.63,0.532591801006897,0.938943473689133
0.64,0.527292424043049,0.938004999530729
0.65,0.522045776761016,0.937067463377403
0.66,0.516851334491699,0.936130864291619
0.67,0.511708577786542,0.935195201336777
0.68,0.50661699236559,0.934260473577214
0.69,0.501576069066055,0.933326680078202
0.7,0.496585303791409,0.932393819905948
0.71,0.491644197460965,0.931461892127592
0.72,0.486752255959972,0.930530895811206
0.73,0.481908990090202,0.929600830025793
0.74,0.477113915521034,0.928671693841287
0.75,0.472366552741015,0.927743486328553
0.76,0.467666427009909,0.926816206559382
0.77,0.463013068311228,0.925889853606495
0.78,0.458406011305224,0.924964426543539
0.79,0.453844795282356,0.924039924445087
0.8,0.449328964117222,0.923116346386636
0.81,0.444858066222941,0.922193691444608
0.82,0.440431654505999,0.921271958696349
0.83,0.436049286321536,0.920351147220125
0.84,0.43171052342908,0.919431256095125
0.85,0.427414931948727,0.918512284401457
0.86,0.423162082317749,0.917594231220151
0.87,0.418951549247639,0.916677095633152
0.88,0.414782911681581,0.915760876723326
0.89,0.410655752752346,0.914845573574452
0.9,0.406569659740599,0.913931185271228
0.91,0.402524224033636,0.913017710899266
0.92,0.398519041084514,0.91210514954509
0.93,0.394553710371601,0.911193500296141
0.94,0.390627835358521,0.910282762240767
0.95,0.386741023454501,0.909372934468231
0.96,0.382892885975112,0.908464016068706
0.97,0.379083038103399,0.907556006133273
0.98,0.3753110988514,0.906648903753921
0.99,0.371576691022046,0.905742708023549
1,0.367879441171442,0.90483741803596
1.01,0.364218979571523,0.903933032885864
1.02,0.360594940173078,0.903029551668877
1.03,0.357006960569147,0.902126973481516
1.04,0.35345468195878,0.901225297421205
1.05,0.349937749111155,0.900324522586266
1.06,0.346455810330057,0.899424648075924
1.07,0.343008517418707,0.898525672990306
1.08,0.339595525644939,0.897627596430435
1.09,0.336216493706733,0.896730417498235
1.1,0.33287108369808,0.895834135296528
1.11,0.329558961075189,0.894938748929031
1.12,0.326279794623039,0.894044257500357
1.13,0.323033256422253,0.893150660116016
1.14,0.319819021816304,0.892257955882408
1.15,0.316636769379053,0.891366143906831
1.16,0.313486180882605,0.890475223297473
1.17,0.310366941265485,0.889585193163411
1.18,0.307278738601131,0.888696052614617
1.19,0.304221264066704,0.88780780076195
1.2,0.301194211912202,0.886920436717157
1.21,0.298197279429887,0.886033959592876
1.22,0.295230166924014,0.885148368502627
1.23,0.292292577680859,0.884263662560821
1.24,0.289384217939051,0.883379840882751
1.25,0.28650479686019,0.882496902584595
1.26,0.28365402649977,0.881614846783416
1.27,0.28083162177838,0.880733672597157
1.28,0.278037300453194,0.879853379144644
1.29,0.275270783089752,0.878973965545583
1.3,0.272531793034013,0.878095430920561
1.31,0.269820056384687,0.877217774391044
1.32,0.26713530196585,0.876340995079373
1.33,0.264477261299824,0.875465092108771
1.34,0.261845668580326,0.874590064603334
1.35,0.259240260645892,0.873715911688034
1.36,0.256660776953556,0.872842632488719
1.37,0.2541069595528,0.871970226132109
1.38,0.251578553059756,0.871098691745798
1.39,0.249075304631668,0.870228028458252
