Mixture,Host,Antibiotic,CFUs,Day,,CFUs_sub
four,Ecoli,2-Cm,870000000,0,870000000,870000001
four,Ecoli,2-Cm,1200000,1,1200000,1200001
four,Ecoli,2-Cm,1600000,1,1599980,1599981
four,Ecoli,2-Cm,1100000,1,1099980,1099981
four,Ecoli,2-Cm,350000,2,349900,349901
four,Ecoli,2-Cm,140000,2,139920,139921
four,Ecoli,2-Cm,450000,2,450000,450001
four,Ecoli,2-Cm,2290000,3,2289300,2289301
four,Ecoli,2-Cm,1270000,3,1269640,1269641
four,Ecoli,2-Cm,1090000,3,1089820,1089821
four,Ecoli,2-Cm,17520000,4,17519660,17519661
four,Ecoli,2-Cm,10320000,4,10319780,10319781
four,Ecoli,2-Cm,14160000,4,14159980,14159981
four,Ecoli,3-Tet,0,0,0,1
four,Ecoli,3-Tet,1400,1,1400,1401
four,Ecoli,3-Tet,1300,1,1280,1281
four,Ecoli,3-Tet,800,1,780,781
four,Ecoli,3-Tet,360,2,260,261
four,Ecoli,3-Tet,420,2,340,341
four,Ecoli,3-Tet,0,2,0,1
four,Ecoli,3-Tet,6020,3,5320,5321
four,Ecoli,3-Tet,2440,3,2080,2081
four,Ecoli,3-Tet,1160,3,980,981
four,Ecoli,3-Tet,5580,4,5240,5241
four,Ecoli,3-Tet,3960,4,3740,3741
four,Ecoli,3-Tet,5660,4,5640,5641
four,Ecoli,4-Both,0,0,0,1
four,Ecoli,4-Both,0,1,0,1
four,Ecoli,4-Both,20,1,20,21
four,Ecoli,4-Both,20,1,20,21
four,Ecoli,4-Both,100,2,100,101
four,Ecoli,4-Both,80,2,80,81
four,Ecoli,4-Both,0,2,0,1
four,Ecoli,4-Both,700,3,700,701
four,Ecoli,4-Both,360,3,360,361
four,Ecoli,4-Both,180,3,180,181
four,Ecoli,4-Both,340,4,340,341
four,Ecoli,4-Both,220,4,220,221
four,Ecoli,4-Both,20,4,20,21
four,Ecoli,1-LB,780000000,0,0,1
four,Ecoli,1-LB,320000000,1,318798600,318798601
four,Ecoli,1-LB,410000000,1,408398720,408398721
four,Ecoli,1-LB,320000000,1,318899220,318899221
four,Ecoli,1-LB,25000000,2,24649740,24649741
four,Ecoli,1-LB,24000000,2,23859660,23859661
four,Ecoli,1-LB,28000000,2,27550000,27550001
four,Ecoli,1-LB,40000000,3,37704680,37704681
four,Ecoli,1-LB,70000000,3,68727920,68727921
four,Ecoli,1-LB,130000000,3,128909020,128909021
four,Ecoli,1-LB,206000000,4,188474760,188474761
four,Ecoli,1-LB,154000000,4,143676260,143676261
four,Ecoli,1-LB,140000000,4,125834360,125834361
four,Kleb,2-Cm,0,0,0,1
four,Kleb,2-Cm,17000000,1,12400000,12400001
four,Kleb,2-Cm,24700000,1,17100000,17100001
four,Kleb,2-Cm,13300000,1,8900000,8900001
four,Kleb,2-Cm,13200000,2,6900000,6900001
four,Kleb,2-Cm,7300000,2,-800000,-799999
four,Kleb,2-Cm,9900000,2,5200000,5200001
four,Kleb,2-Cm,24000000,3,6700000,6700001
four,Kleb,2-Cm,26080000,3,8980000,8980001
four,Kleb,2-Cm,26720000,3,8520000,8520001
four,Kleb,2-Cm,22000000,4,7600000,7600001
four,Kleb,2-Cm,50000000,4,35200000,35200001
four,Kleb,2-Cm,58000000,4,44500000,44500001
four,Kleb,3-Tet,1700000000,0,1700000000,1700000001
four,Kleb,3-Tet,270000000,1,265400000,265400001
four,Kleb,3-Tet,600000000,1,592400000,592400001
four,Kleb,3-Tet,300000000,1,295600000,295600001
four,Kleb,3-Tet,980000000,2,973700000,973700001
four,Kleb,3-Tet,910000000,2,901900000,901900001
four,Kleb,3-Tet,850000000,2,845300000,845300001
four,Kleb,3-Tet,790000000,3,772700000,772700001
four,Kleb,3-Tet,730000000,3,712900000,712900001
four,Kleb,3-Tet,650000000,3,631800000,631800001
four,Kleb,3-Tet,1090000000,4,1075600000,1075600001
four,Kleb,3-Tet,620000000,4,605200000,605200001
four,Kleb,3-Tet,1150000000,4,1136500000,1136500001
four,Kleb,4-Both,0,0,0,1
four,Kleb,4-Both,4600000,1,4600000,4600001
four,Kleb,4-Both,7600000,1,7600000,7600001
four,Kleb,4-Both,4400000,1,4400000,4400001
four,Kleb,4-Both,6300000,2,6300000,6300001
four,Kleb,4-Both,8100000,2,8100000,8100001
four,Kleb,4-Both,4700000,2,4700000,4700001
four,Kleb,4-Both,17300000,3,17300000,17300001
four,Kleb,4-Both,17100000,3,17100000,17100001
four,Kleb,4-Both,18200000,3,18200000,18200001
four,Kleb,4-Both,14400000,4,14400000,14400001
four,Kleb,4-Both,14800000,4,14800000,14800001
four,Kleb,4-Both,13500000,4,13500000,13500001
four,Kleb,1-LB,900000000,0,,1
four,Kleb,1-LB,620000000,1,337600000,337600001
four,Kleb,1-LB,590000000,1,-27100000,-27099999
four,Kleb,1-LB,400000000,1,91100000,91100001
four,Kleb,1-LB,940000000,2,-46900000,-46899999
four,Kleb,1-LB,940000000,2,30800000,30800001
four,Kleb,1-LB,780000000,2,-75200000,-75199999
four,Kleb,1-LB,860000000,3,63300000,63300001
four,Kleb,1-LB,810000000,3,71020000,71020001
four,Kleb,1-LB,1040000000,3,381480000,381480001
four,Kleb,1-LB,810000000,4,-287600000,-287599999
four,Kleb,1-LB,950000000,4,294800000,294800001
four,Kleb,1-LB,900000000,4,-294500000,-294499999
