Mixture,Host,Antibiotic,CFUs,Day,,CFUs_sub
six,Kleb,2-Cm,100000000,0,100000000,100000001
six,Kleb,2-Cm,17600000,1,17600000,17600001
six,Kleb,2-Cm,3760000,1,3760000,3760001
six,Kleb,2-Cm,5030000,1,5030000,5030001
six,Kleb,2-Cm,4280000,2,4280000,4280001
six,Kleb,2-Cm,3450000,2,3449960,3449961
six,Kleb,2-Cm,1260000,2,1260000,1260001
six,Kleb,2-Cm,4200000,3,4200000,4200001
six,Kleb,2-Cm,900000,3,900000,900001
six,Kleb,2-Cm,5800000,3,5799960,5799961
six,Kleb,2-Cm,1096000,4,1096000,1096001
six,Kleb,2-Cm,495000,4,495000,495001
six,Kleb,2-Cm,2024000,4,2024000,2024001
six,Kleb,3-Tet,590000000,0,590000000,590000001
six,Kleb,3-Tet,101000000,1,101000000,101000001
six,Kleb,3-Tet,52000000,1,52000000,52000001
six,Kleb,3-Tet,43000000,1,43000000,43000001
six,Kleb,3-Tet,18100000,2,18100000,18100001
six,Kleb,3-Tet,10800000,2,10799960,10799961
six,Kleb,3-Tet,29900000,2,29900000,29900001
six,Kleb,3-Tet,23200000,3,23200000,23200001
six,Kleb,3-Tet,13400000,3,13400000,13400001
six,Kleb,3-Tet,25700000,3,25699960,25699961
six,Kleb,3-Tet,14400000,4,14400000,14400001
six,Kleb,3-Tet,7500000,4,7500000,7500001
six,Kleb,3-Tet,20400000,4,20400000,20400001
six,Kleb,1-LB,190000000,0,0,1
six,Kleb,1-LB,490000000,1,371400000,371400001
six,Kleb,1-LB,230000000,1,174240000,174240001
six,Kleb,1-LB,300000000,1,251970000,251970001
six,Kleb,1-LB,1250000000,2,1227620000,1227620001
six,Kleb,1-LB,570000000,2,555750040,555750041
six,Kleb,1-LB,1550000000,2,1518840000,1518840001
six,Kleb,1-LB,1470000000,3,1442600000,1442600001
six,Kleb,1-LB,1050000000,3,1035700000,1035700001
six,Kleb,1-LB,1320000000,3,1288500040,1288500041
six,Kleb,1-LB,2410000000,4,2394504000,2394504001
six,Kleb,1-LB,2300000000,4,2292005000,2292005001
six,Kleb,1-LB,2530000000,4,2507576000,2507576001
six,Kleb,4-Both,0,0,0,1
six,Kleb,4-Both,0,1,0,1
six,Kleb,4-Both,0,1,0,1
six,Kleb,4-Both,0,1,0,1
six,Kleb,4-Both,0,2,0,1
six,Kleb,4-Both,40,2,40,41
six,Kleb,4-Both,0,2,0,1
six,Kleb,4-Both,0,3,0,1
six,Kleb,4-Both,0,3,0,1
six,Kleb,4-Both,40,3,40,41
six,Kleb,4-Both,0,4,0,1
six,Kleb,4-Both,0,4,0,1
six,Kleb,4-Both,0,4,0,1
