"time","emergence_low","emergence_high"
0,0,0
0.01,0.00159598723210214,0.00799193606451148
0.02,0.0127351849481633,0.063867912453603
0.03,0.0428667407839907,0.215305494013293
0.04,0.101324122049511,0.509691038188448
0.05,0.197302697302697,0.994005994005994
0.06,0.339828775875287,1.71466905187835
0.07,0.537720494961825,2.71733563102846
0.08,0.799541079737396,4.04665689336478
0.09,1.13354516460005,5.74600132030001
0.1,1.54761904761905,7.85714285714286
0.11,2.04921594857952,10.4199206845509
0.12,2.64528754497822,13.4718767754561
0.13,3.34221325974669,17.0478784877002
0.14,4.14572895791583,21.1797344689379
0.15,5.06085686465433,25.8958130477118
0.16,6.09183863171593,31.2206729875442
0.17,7.24207354152394,37.1747169259428
0.18,8.51406383759325,43.7738779503485
0.19,9.90936909881009,51.0293495324551
0.2,11.4285714285714,58.9473684210526
0.21,13.0712530072024,67.52905907151
0.22,14.8359872611465,76.7703467799009
0.23,16.7203445435127,86.6619449284449
0.24,18.720912810465,97.1894196968824
0.25,20.8333333333333,108.333333333333
0.26,23.0523510268208,120.069464706542
0.27,25.3718785206279,132.369103488316
0.28,27.7850726767924,145.199412052915
0.29,30.2844218784516,158.523847137339
0.3,32.8618421052632,172.302631578947
0.31,35.5087795802081,186.493265112313
0.32,38.2163176309518,201.051062319355
0.33,40.9752853601099,215.929705412677
0.34,43.7763657610283,231.081799591002
0.35,46.6102010424423,246.459419210722
0.36,49.4674931257865,262.014633919001
0.37,52.3390975388977,277.700005123738
0.38,55.2161092332325,293.469044653976
0.39,58.0899391815277,309.276629104976
0.4,60.952380952381,325.079365079365
0.41,63.7956667921473,340.835902248854
0.42,66.6125130595515,356.507192799164
0.43,69.3961551438337,372.056697325764
0.44,72.1403722452708,387.450538575724
0.45,74.8395026026605,402.657605552342
0.46,77.4884499136442,417.649611398964
0.47,80.082681810832,432.401109154237
0.48,82.6182213317939,446.889469931067
0.49,85.0916323578502,461.094828332282
0.5,87.5,475
0.51,89.8409068856709,488.59037612895
0.52,92.1124062528237,501.85379958435
0.53,94.3129926938005,514.780426979995
0.54,96.4415713152826,527.362580718251
0.55,98.497425997426,539.594594594595
0.56,100.480187348644,551.472656146047
0.57,102.389800865913,562.994648493035
0.58,104.226495726496,574.159994002099
0.59,105.990754557644,584.96950169351
0.6,107.683284457478,595.425219941349
0.61,109.304989473864,605.530295669368
0.62,110.856944689096,615.288840937115
0.63,112.340372006708,624.705807538788
0.64,113.756617692641,633.78687000186
0.65,115.107131685956,642.538317172349
0.66,116.393448663745,650.966952406811
0.67,117.617170820386,659.080002254776
0.68,118.779952302063,666.885033406761
0.69,119.883485223006,674.389877598901
0.7,120.929487179487,681.602564102564
0.71,121.919690170653,688.531259383199
0.72,122.855830831233,695.184213484048
0.73,123.739641879549,701.569712674873
0.74,124.572844684511,707.696037900963
0.75,125.357142857143,713.571428571429
0.76,126.094216775182,719.204051236223
0.77,126.785718953181,724.601972716939
0.78,127.433270175064,729.773137275832
0.79,128.038456311009,734.725347429531
0.8,128.602825745683,739.466248037677
0.81,129.12788735012,744.00331332138
0.82,129.615108934781,748.343836491377
0.83,130.065916126449,752.49492169056
0.84,130.4816916166,756.46347797978
0.85,130.863774733638,760.256215119229
0.86,131.213461295884,763.879640919985
0.87,131.532003706431,767.340059961481
0.88,131.820611254947,770.643573490462
0.89,132.080450595143,773.796080335531
0.9,132.312646370023,776.803278688525
0.91,132.518281960138,779.670668619838
0.92,132.698400332858,782.40355520932
0.93,132.854004973331,785.007052187695
0.94,132.986060880048,787.48608599558
0.95,133.095495610128,789.84540017814
0.96,133.183200361283,792.089560043417
0.97,133.250031079155,794.2229575213
0.98,133.296809580263,796.249816168195
0.99,133.324324682119,798.174196269694
1,133.333333333333,800
1.01,133.32456173759,801.730976602634
1.02,133.29870646632,803.370727562114
1.03,133.256435555753,804.922711740809
1.04,133.198389584787,806.39025045925
1.05,133.125182730728,807.776532501706
1.06,133.037403800562,809.084619031988
1.07,132.935617235895,810.317448407199
1.08,132.82036409015,811.477840879548
1.09,132.692162976953,812.568503178456
1.1,132.551510989011,813.592032967033
1.11,132.398884587014,814.550923168553
1.12,132.234740458375,815.447566159976
1.13,132.05951634578,816.284257830712
1.14,131.873631845751,817.063201505841
1.15,131.677489177489,817.78651173388
1.16,131.471473922472,818.456217939897
1.17,131.255955735304,819.074267945394
1.18,131.031289026443,819.642531356899
1.19,130.797813617478,820.162802825608
1.2,130.555855369671,820.636805180788
1.21,130.305726786536,821.066192439895
1.22,130.047727591238,821.452552698614
1.23,129.782145279618,821.797410904154
1.24,129.509255649667,822.10223151528
1.25,129.229323308271,822.368421052632
1.26,128.942602156042,822.597330542925
1.27,128.649335851067,822.790257860672
1.28,128.349758252361,822.948449971019
1.29,128.044093843832,823.073105077324
1.3,127.732558139535,823.165374677003
1.31,127.415358070972,823.226365529177
1.32,127.092692357177,823.257141537538
1.33,126.764751858323,823.258725551806
1.34,126.431719913524,823.232101091065
1.35,126.09377266354,823.178213992167
1.36,125.75107935902,823.097973986311
1.37,125.403802654919,822.99225620681
1.38,125.052098891711,822.861902630952
1.39,124.696118363962,822.707723458783
1.4,124.336005576856,822.530498431509
1.41,123.971899491193,822.330978092159
1.42,123.603933757389,822.109884991005
1.43,123.232236938981,821.867914838186
1.44,122.856932726109,821.605737605851
1.45,122.47814013943,821.323998582063
1.46,122.095973724922,821.023319378611
1.47,121.710543739965,820.704298894783
1.48,121.321956331131,820.367514239074
1.49,120.930313704049,820.01352161072
1.5,120.535714285714,819.642857142857
1.51,120.138252879594,819.256037709038
1.52,119.738020813857,818.853561694761
1.53,119.335106083052,818.435909735586
1.54,118.929593483537,818.003545423354
1.55,118.521564742944,817.556915981943
1.56,118.111098643959,817.096452913947
1.57,117.698271142681,816.622572619592
