Antibiotic,,CFUs_sub,Host,replicate,Day,n_A,n_Aa,n_Ab,n_Aab,n_B,n_Ba,n_Bb,n_Bab
4-DP,43,44,B,,3,,,,,,,,
4-DP,28,29,B,,4,,,,,,,,
4-DP,25,26,B,,5,,,,,,,,
4-DP,9,10,B,,6,,,,,,,,
4-DP,0,1,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,221,222,B,,1,,,,,,,,
4-DP,99,100,B,,2,,,,,,,,
4-DP,104,105,B,,3,,,,,,,,
4-DP,47,48,B,,4,,,,,,,,
4-DP,10,11,B,,5,,,,,,,,
4-DP,0,1,B,,6,,,,,,,,
4-DP,0,1,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,198,199,B,,1,,,,,,,,
4-DP,197,198,B,,2,,,,,,,,
4-DP,109,110,B,,3,,,,,,,,
4-DP,68,69,B,,4,,,,,,,,
4-DP,74,75,B,,5,,,,,,,,
4-DP,13,14,B,,6,,,,,,,,
4-DP,4,5,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,187,188,B,,1,,,,,,,,
4-DP,173,174,B,,2,,,,,,,,
4-DP,134,135,B,,3,,,,,,,,
4-DP,201,202,B,,4,,,,,,,,
4-DP,58,59,B,,5,,,,,,,,
4-DP,30,31,B,,6,,,,,,,,
4-DP,1,2,B,,7,,,,,,,,
4-DP,1,2,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,184,185,B,,1,,,,,,,,
4-DP,236,237,B,,2,,,,,,,,
4-DP,230,231,B,,3,,,,,,,,
4-DP,27,28,B,,4,,,,,,,,
4-DP,12,13,B,,5,,,,,,,,
4-DP,5,6,B,,6,,,,,,,,
4-DP,7,8,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,221,222,B,,1,,,,,,,,
4-DP,117,118,B,,2,,,,,,,,
4-DP,60,61,B,,3,,,,,,,,
4-DP,50,51,B,,4,,,,,,,,
4-DP,13,14,B,,5,,,,,,,,
4-DP,1,2,B,,6,,,,,,,,
4-DP,6,7,B,,7,,,,,,,,
4-DP,3,4,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,226,227,B,,1,,,,,,,,
4-DP,199,200,B,,2,,,,,,,,
4-DP,259,260,B,,3,,,,,,,,
4-DP,138,139,B,,4,,,,,,,,
4-DP,18,19,B,,5,,,,,,,,
4-DP,5,6,B,,6,,,,,,,,
4-DP,4,5,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,212,213,B,,1,,,,,,,,
4-DP,112,113,B,,2,,,,,,,,
4-DP,116,117,B,,3,,,,,,,,
4-DP,108,109,B,,4,,,,,,,,
4-DP,26,27,B,,5,,,,,,,,
4-DP,16,17,B,,6,,,,,,,,
4-DP,11,12,B,,7,,,,,,,,
4-DP,22,23,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,226,227,B,,1,,,,,,,,
4-DP,318,319,B,,2,,,,,,,,
4-DP,141,142,B,,3,,,,,,,,
4-DP,62,63,B,,4,,,,,,,,
4-DP,3,4,B,,5,,,,,,,,
4-DP,0,1,B,,6,,,,,,,,
4-DP,0,1,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,222,223,B,,1,,,,,,,,
4-DP,228,229,B,,2,,,,,,,,
4-DP,50,51,B,,3,,,,,,,,
4-DP,46,47,B,,4,,,,,,,,
4-DP,20,21,B,,5,,,,,,,,
4-DP,35,36,B,,6,,,,,,,,
4-DP,2,3,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,284,285,B,,1,,,,,,,,
4-DP,218,219,B,,2,,,,,,,,
4-DP,123,124,B,,3,,,,,,,,
4-DP,109,110,B,,4,,,,,,,,
4-DP,6,7,B,,5,,,,,,,,
4-DP,8,9,B,,6,,,,,,,,
4-DP,1,2,B,,7,,,,,,,,
4-DP,1,2,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,200,201,B,,1,,,,,,,,
4-DP,120,121,B,,2,,,,,,,,
4-DP,63,64,B,,3,,,,,,,,
4-DP,17,18,B,,4,,,,,,,,
4-DP,31,32,B,,5,,,,,,,,
4-DP,0,1,B,,6,,,,,,,,
4-DP,0,1,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,221,222,B,,1,,,,,,,,
4-DP,209,210,B,,2,,,,,,,,
4-DP,78,79,B,,3,,,,,,,,
4-DP,42,43,B,,4,,,,,,,,
4-DP,74,75,B,,5,,,,,,,,
4-DP,61,62,B,,6,,,,,,,,
4-DP,23,24,B,,7,,,,,,,,
4-DP,14,15,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,211,212,B,,1,,,,,,,,
4-DP,109,110,B,,2,,,,,,,,
4-DP,129,130,B,,3,,,,,,,,
4-DP,140,141,B,,4,,,,,,,,
4-DP,121,122,B,,5,,,,,,,,
4-DP,39,40,B,,6,,,,,,,,
4-DP,3,4,B,,7,,,,,,,,
4-DP,5,6,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,186,187,B,,1,,,,,,,,
4-DP,159,160,B,,2,,,,,,,,
4-DP,162,163,B,,3,,,,,,,,
4-DP,38,39,B,,4,,,,,,,,
4-DP,9,10,B,,5,,,,,,,,
4-DP,2,3,B,,6,,,,,,,,
4-DP,0,1,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,226,227,B,,1,,,,,,,,
4-DP,115,116,B,,2,,,,,,,,
4-DP,58,59,B,,3,,,,,,,,
4-DP,16,17,B,,4,,,,,,,,
4-DP,10,11,B,,5,,,,,,,,
4-DP,2,3,B,,6,,,,,,,,
4-DP,2,3,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,187,188,B,,1,,,,,,,,
4-DP,151,152,B,,2,,,,,,,,
4-DP,121,122,B,,3,,,,,,,,
4-DP,44,45,B,,4,,,,,,,,
4-DP,70,71,B,,5,,,,,,,,
4-DP,4,5,B,,6,,,,,,,,
4-DP,0,1,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,216,217,B,,1,,,,,,,,
4-DP,119,120,B,,2,,,,,,,,
4-DP,90,91,B,,3,,,,,,,,
4-DP,68,69,B,,4,,,,,,,,
4-DP,43,44,B,,5,,,,,,,,
4-DP,40,41,B,,6,,,,,,,,
4-DP,47,48,B,,7,,,,,,,,
4-DP,69,70,B,,8,,,,,,,,
4-DP,0,1,B,,0,,,,,,,,
4-DP,187,188,B,,1,,,,,,,,
4-DP,97,98,B,,2,,,,,,,,
4-DP,57,58,B,,3,,,,,,,,
4-DP,15,16,B,,4,,,,,,,,
4-DP,0,1,B,,5,,,,,,,,
4-DP,0,1,B,,6,,,,,,,,
4-DP,0,1,B,,7,,,,,,,,
4-DP,0,1,B,,8,,,,,,,,
