Antibiotic,,CFUs_sub,Host,replicate,Day,n_A,n_Aa,n_Ab,n_Aab,n_B,n_Ba,n_Bb,n_Bab
4-DP,3,3,A,,6,,,,,,,,
4-DP,1,1,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,222,222,A,,1,,,,,,,,
4-DP,147,147,A,,2,,,,,,,,
4-DP,81,81,A,,3,,,,,,,,
4-DP,35,35,A,,4,,,,,,,,
4-DP,15,15,A,,5,,,,,,,,
4-DP,3,3,A,,6,,,,,,,,
4-DP,0,1,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,179,179,A,,1,,,,,,,,
4-DP,112,112,A,,2,,,,,,,,
4-DP,82,82,A,,3,,,,,,,,
4-DP,30,30,A,,4,,,,,,,,
4-DP,43,43,A,,5,,,,,,,,
4-DP,8,8,A,,6,,,,,,,,
4-DP,0,1,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,199,199,A,,1,,,,,,,,
4-DP,109,109,A,,2,,,,,,,,
4-DP,58,58,A,,3,,,,,,,,
4-DP,26,26,A,,4,,,,,,,,
4-DP,6,6,A,,5,,,,,,,,
4-DP,2,2,A,,6,,,,,,,,
4-DP,3,3,A,,7,,,,,,,,
4-DP,2,2,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,178,178,A,,1,,,,,,,,
4-DP,115,115,A,,2,,,,,,,,
4-DP,75,75,A,,3,,,,,,,,
4-DP,23,23,A,,4,,,,,,,,
4-DP,9,9,A,,5,,,,,,,,
4-DP,1,1,A,,6,,,,,,,,
4-DP,0,1,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,145,145,A,,1,,,,,,,,
4-DP,105,105,A,,2,,,,,,,,
4-DP,39,39,A,,3,,,,,,,,
4-DP,13,13,A,,4,,,,,,,,
4-DP,13,13,A,,5,,,,,,,,
4-DP,8,8,A,,6,,,,,,,,
4-DP,1,1,A,,7,,,,,,,,
4-DP,4,4,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,175,175,A,,1,,,,,,,,
4-DP,134,134,A,,2,,,,,,,,
4-DP,49,49,A,,3,,,,,,,,
4-DP,22,22,A,,4,,,,,,,,
4-DP,16,16,A,,5,,,,,,,,
4-DP,1,1,A,,6,,,,,,,,
4-DP,0,1,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,198,198,A,,1,,,,,,,,
4-DP,161,161,A,,2,,,,,,,,
4-DP,54,54,A,,3,,,,,,,,
4-DP,11,11,A,,4,,,,,,,,
4-DP,17,17,A,,5,,,,,,,,
4-DP,10,10,A,,6,,,,,,,,
4-DP,3,3,A,,7,,,,,,,,
4-DP,1,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,166,166,A,,1,,,,,,,,
4-DP,107,107,A,,2,,,,,,,,
4-DP,112,112,A,,3,,,,,,,,
4-DP,21,21,A,,4,,,,,,,,
4-DP,7,7,A,,5,,,,,,,,
4-DP,18,18,A,,6,,,,,,,,
4-DP,0,1,A,,7,,,,,,,,
4-DP,3,3,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,184,184,A,,1,,,,,,,,
4-DP,117,117,A,,2,,,,,,,,
4-DP,48,48,A,,3,,,,,,,,
4-DP,26,26,A,,4,,,,,,,,
4-DP,20,20,A,,5,,,,,,,,
4-DP,1,1,A,,6,,,,,,,,
4-DP,0,1,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,218,218,A,,1,,,,,,,,
4-DP,149,149,A,,2,,,,,,,,
4-DP,80,80,A,,3,,,,,,,,
4-DP,27,27,A,,4,,,,,,,,
4-DP,12,12,A,,5,,,,,,,,
4-DP,25,25,A,,6,,,,,,,,
4-DP,7,7,A,,7,,,,,,,,
4-DP,1,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,192,192,A,,1,,,,,,,,
4-DP,109,109,A,,2,,,,,,,,
4-DP,81,81,A,,3,,,,,,,,
4-DP,30,30,A,,4,,,,,,,,
4-DP,12,12,A,,5,,,,,,,,
4-DP,1,1,A,,6,,,,,,,,
4-DP,0,1,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,164,164,A,,1,,,,,,,,
4-DP,147,147,A,,2,,,,,,,,
4-DP,67,67,A,,3,,,,,,,,
4-DP,34,34,A,,4,,,,,,,,
4-DP,11,11,A,,5,,,,,,,,
4-DP,8,8,A,,6,,,,,,,,
4-DP,1,1,A,,7,,,,,,,,
4-DP,1,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,174,174,A,,1,,,,,,,,
4-DP,66,66,A,,2,,,,,,,,
4-DP,79,79,A,,3,,,,,,,,
4-DP,16,16,A,,4,,,,,,,,
4-DP,5,5,A,,5,,,,,,,,
4-DP,7,7,A,,6,,,,,,,,
4-DP,3,3,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,160,160,A,,1,,,,,,,,
4-DP,128,128,A,,2,,,,,,,,
4-DP,59,59,A,,3,,,,,,,,
4-DP,28,28,A,,4,,,,,,,,
4-DP,12,12,A,,5,,,,,,,,
4-DP,0,1,A,,6,,,,,,,,
4-DP,0,1,A,,7,,,,,,,,
4-DP,0,1,A,,8,,,,,,,,
4-DP,0,1,A,,0,,,,,,,,
4-DP,185,185,A,,1,,,,,,,,
4-DP,173,173,A,,2,,,,,,,,
4-DP,86,86,A,,3,,,,,,,,
4-DP,20,20,A,,4,,,,,,,,
4-DP,12,12,A,,5,,,,,,,,
4-DP,8,8,A,,6,,,,,,,,
4-DP,8,8,A,,7,,,,,,,,
4-DP,1,1,A,,8,,,,,,,,
